appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,7,26,Cpotroil,Anhydrous Calcipotriol (dưới dạng Calcipotriol monohydrate 60mcg) 50.000µg (mcg)/1g,Thuốc mỡ,Hộp 1 Tuýp x 30 gam,BP 2023 + NSX,24,890110048526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,27,Tresondan,Mỗi 1ml dung dịch chứa: Ondansetron (dưới dạng Ondansetron hydrochloride dihydrate) 2mg,Dung dịch tiêm,Hộp 1 vỉ x 5 Ống x 2 ml; Hộp 1 vỉ x 5 Ống x 4 ml,NSX,24,482110048626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,28,Misol 100 mg Film Coated Tablet,"Sertraline hydrochloride 111,908mg tương đương với Sertraline 100mg",Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,868110048726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,29,Zeno 90 mg Film Coated Tablet,Deferasirox 90mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,24,868110048826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,30,Fexostal-120,Fexofenadine hydrochloride 120mg,Viên nén bao phim,Hộp 1 vỉ x 10 viên,USP 38,36,890100048926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,31,Piczonar Cream,"Mỗi 100g chứa Clobetasol Propionate 0,05g (0,05% kl/kl)",Kem bôi ngoài da,Hộp 1 tuýp x 5 gam,NSX,48,885110049026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,32,Momefin,Lọ 120 liều chứa: Mometasone furoate Monohydrate (Micronised) 6mg,Hỗn dịch xịt mũi,Hộp 1 Lọ x 120 Liều,BP 2021,24,890110049126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,33,Amfibays 2000 mg,Ampicillin (dưới dạng Ampicillin natri) 2000mg,Bột pha tiêm,Hộp 50 Lọ,NSX,36,594110049226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,34,Amfibays 250 mg,Ampicillin (dưới dạng Ampicillin natri) 250mg,Bột pha tiêm,Hộp 50 Lọ,NSX,36,594110049326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,35,Basiflux,"Bromhexine hydrochloride (0,08% kl/tt) 0,8mg/ml",Siro,"Hộp 1 Chai x 200ml, và muỗng nhựa PP có dung tích 5ml, có vạch chia ở các mức 1,25ml; 2,5ml; 3,75ml; 5ml",NSX,36,560100049426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,36,Basiflux,"Bromhexine hydrochloride (0,16% kl/tt) 1,6mg/ml",Siro,"Hộp 1 Chai x 200ml, và muỗng nhựa PP có dung tích 5ml, có vạch chia ở các mức 1,25ml; 2,5ml; 3,75ml; 5ml",NSX,36,560100049526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,37,Toceliv,"Dextromethorphan hydrobromide (0,2% kl/tt) hoặc 2mg/ml",Siro,Hộp 1 Chai x 200ml,NSX,36,560110049626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,38,Tadasartan 40 mg,Valsartan 40mg,Viên nén bao phim,Hộp 02 vỉ x 14 viên hoặc 07 vỉ x 14 viên,NSX,36,840110049726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,39,Waxicin,"Ciprofloxacin (dưới dạng 582,2mg Ciprofloxacin hydrochloride) 500mg",Viên nén bao phim,Hộp 10 vỉ x 10 Viên,USP 43,36,890115049826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,40,Bismed-5,Bisoprolol fumarate 5mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,USP 44 + NSX,36,890110049926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,41,Emla,"Mỗi 1g kem chứa: Lidocaine 25mg, Prilocaine 25mg",Kem bôi,"Hộp 5 tuýp, mỗi tuýp chứa 5 g kem; Tuýp nhôm, nắp vặn bằng polypropylen",NSX,30,400110050026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,42,Auroliza 10,Lisinopril dihydrate tương đương với lisinopril khan 10mg,Viên nén không bao,Hộp 2 vỉ x 14 viên; Hộp 20 vỉ x 14 viên,BP 2017,48,890110050126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,43,Auroliza 20,Lisinopril dihydrate tương đương với lisinopril khan 20mg,Viên nén không bao,Hộp 2 vỉ x 14 viên; Hộp 3 vỉ x 10 viên,BP 2017,48,890110050226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,44,Bisodac 5,Bisoprolol fumarate 5mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,890110050326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,45,Onchofin 250,Terbinafine hydrochloride tương đương terbinafine 250mg,Viên nén không bao,Hộp 2 vỉ x 7 viên,NSX,24,890110050426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,46,Nebstyle 5,Nebivolol (dưới dạng Nebivolol hydroclorid) 5mg,Viên nén,Hộp 3 vỉ x 10 viên,NSX,24,890110050526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,47,Utrogestan 100mg,Progesterone micronized 100mg,Viên nang mềm dùng uống hoặc đặt âm đạo,"Hộp 30 viên, (2 vỉ x 15 viên)",NSX,36,840110050626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,48,Ceftbsv 1g,Ceftriaxone sodium (vô khuẩn) tương đương với Ceftriaxone khan 1000mg,Thuốc bột pha tiêm,Hộp 1 Lọ x 10ml x 1 gam,USP 41,24,890110050726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,49,Joceva,"Erlotinib hydrochlorid 163,92mg tương đương với erlotinib 150mg",Viên nén bao phim,Hộp 1 Lọ x 30 viên,NSX,36,890114050826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,50,Cipfoxain,Ciprofloxacin hydrochloride 580mg tương đương với Ciprofloxacin 500mg,Viên nén bao phim,Hộp 10 vỉ x 10 viên,USP 2024,36,890115050926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,51,Bildox 50,Doxorubicin hydrochloride 50mg/25ml,Dung dịch đậm đặc pha dung dịch tiêm truyền,Hộp 1 lọ 25ml,USP hiện hành,24,890114051026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,52,Blixone,Ceftriaxon khan (dưới dạng Ceftriaxon Natri vô khuẩn) 1000mg,Bột pha dung dịch tiêm,Hộp 1 lọ,USP 42,24,890110051126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,53,Glyxambi,"Empagliflozin 10mg, Linagliptin 5mg",Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,36,400110051226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,54,Glyxambi,"Empagliflozin 25mg, Linagliptin 5mg",Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,36,400110051326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,55,Diclofenac sodium injection 25mg,Mỗi ml chứa: Natri Diclofenac 25mg,Dung dịch pha tiêm/pha tiêm truyền,Hộp 10 ống x 3ml,NSX,36,890110051426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,56,Ficyc-200,Aciclovir 200mg,Viên nén không bao,Hộp 5 vỉ x 10 viên,BP hiện hành,36,890110051526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,57,Cefpodoxime Proxetil Tablets USP 100 mg,"Cefpodoxime proxetil 136,92mg tương đương Cefpodoxime 100mg",Viên nén bao phim,Hộp 1 vỉ 10 viên,USP 43,24,890110051626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,58,Bru-200 capsules,Celecoxib 200mg,Viên nang cứng,"Hộp, 1 vỉ 10 viên",NSX,24,890110051726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,59,Brumox-250,Amoxicillin (dưới dạng amoxicillin trihydrate) 250mg,Viên nang cứng,Hộp 10 vỉ x 10 viên,BP hiện hành + NSX,36,890110051826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,60,Cadiglip 50,Vildagliptin 50mg,Viên nén không bao,Hộp 2 vỉ x 14 viên,NSX,24,890110051926,,
