appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,21,115,Cleamine 12,"Galantamine (dưới dạng Galantamine hydrobromide 15,379mg) 12mg",Viên nén bao phim,Hộp 4 vỉ x 14 viên,NSX,36,560110057426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,116,Adozin 6 mg/2 ml,Adenosine 6mg/2ml,Dung dịch tiêm,Hộp chứa 1 ống (2ml),NSX,36,868110057526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,117,Ciprofloxacin/ Vioser,Ciprofloxacin 2mg/ml,Dung dịch tiêm truyền tĩnh mạch,"Chai, Thùng carton chứa 10 chai, mỗi chai 100ml. Thùng carton chứa 10 chai, mỗi chai 200ml",NSX,30,520115057626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,118,Ezupol 25,Empagliflozin 25mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,24,894110057726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,119,Exocet,"Fexofenadin hydroclorid 0,6% (w/v)",Hỗn dịch uống,"Hộp 1 Lọ x 50ml, Lọ nhựa PET màu hổ phách có nắp nhựa màu trắng",NSX,24,894100057826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,120,Nitere,Terbinafin (dưới dạng Terbinafin hydrochlorid 281mg) 250mg,Viên nén,Hộp 2 vỉ x 7 viên,NSX,36,482110057926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,121,Peget 50,Pregabalin 50mg,Viên nén,Hộp 2 vỉ x 10 viên; Hộp 8 vỉ x 7 viên,NSX,24,840110058026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,122,Sitamet 50/1000,"Metformin hydrochloride 1000mg, Sitagliptin (dưới dạng sitagliptin phosphate anhydrous 62,028mg) 50mg",Viên nén bao phim,Hộp 4 vỉ x 7 viên,NSX,24,890110058126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,123,Sitamet 50/850,"Metformin hydrochloride 850mg, Sitagliptin (dưới dạng Sitagliptin phosphate anhydrous 62,028mg) 50mg",Viên nén bao phim,Hộp 4 vỉ x 7 viên,NSX,24,890110058226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,124,Ansara 100,"Sildenafil citrate USP (tương đương Sildenafil 100mg) 140,5mg",Viên nén bao phim,Hộp 1 vỉ Alu-PVDC x 4 viên,USP hiện hành,36,890110058326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,125,Ansara 50,"Sildenafil citrate USP (tương đương Sildenafil 50 mg) 70,25mg",Viên nén bao phim,Hộp 1 vỉ Alu-PVDC x 4 viên,USP hiện hành,36,890110058426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,126,Ilgik Injection 100mg,"Pemetrexed disodium hemipentahydrat 120,8 mg tương đương pemetrexed 100mg",Bột đông khô pha tiêm,Hộp chứa 1 lọ,NSX,24,880114058526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,127,Lukema Tab.,"Montelukast natri 10,4mg tương đương Montelukast 10mg",Viên nén bao phim,Hộp 4 vỉ x 7 viên,NSX,36,880110058626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,128,Ketorolac Trometamol 30mg/ml,Mỗi ống 1ml chứa: Ketorolac trometamol 30mg,Dung dịch tiêm,Hộp 3 Ống x 1ml,NSX,24,800110058726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,129,Zusbrone,"Levonorgestrel 0,75mg",Viên nén,Hộp 1 vỉ x 2 viên,NSX,24,840100058826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,23,130,Respiro 25 mcg /250 mcg Aerosol Inhaler,"Mỗi liều xịt chứa: Salmeterol xinafoate (micronized) 36,3mcg tương đương Salmeterol 25mcg; Fluticasone propionate (micronized) 250mcg",Thuốc hít định liều,Hộp 1 lọ 120 liều,NSX,36,868110058926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,131,Devasid 1.0 g/0.5 g IM/IV,"Ampicillin (dưới dạng ampicillin sodium) 1g, Sulbactam (dưới dạng sulbactam sodium) 0,5g",Bột pha tiêm,Hộp 1 lọ bột pha tiêm (lọ thủy tinh) và 1 ống dung môi pha tiêm (ống thủy tinh),NSX,36,868110059026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,132,Sevoflurane for Inhalation,Sevoflurane (100% tt/tt) 250ml,Dung dịch dược chất lỏng nguyên chất dùng để hít,Hộp 1 chai 250ml,NSX,48,690114059126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,133,Manazith Dry Syrup,"Mỗi 5ml hỗn dịch uống sau khi pha có chứa: Azithromycin dihydrat 209,64mg tương đương azithromycin 200mg",Bột pha hỗn dịch uống,Hộp 1 chai chứa bột pha 15ml hỗn dịch,USP hiện hành,24,885110059226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,134,Pregason,Pregabalin 75mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,NSX,36,890110059326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,135,Glimison-3,Glimepirid 3mg,Viên nén,Hộp 3 vỉ x 10 viên,USP hiện hành,36,890110059426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,24,136,Tgson-60,Ticagrelor 60mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,890110059526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,137,Aspirem,Acetylsalicylic acid 75mg,Viên nén bao tan trong ruột,Hộp 1 lọ x 56 viên,NSX,36,529110059626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,138,Nafacolex 400 mg,Ibuprofen 400mg,Viên nén bao phim,"Hộp 3 vỉ x 10 viên, vỉ PVC/PVDC - Alu",NSX,36,531100059726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,139,Nafarein 50 mg/g,"Ketoprofen (5% kl/kl) 1,5g/30g",Kem bôi ngoài da,Hộp 1 tuýp x 30 gam,NSX,24,531100059826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,140,Tranexel 5%,Acid Tranexamic 5% (w/v),Dung dịch tiêm,Hộp 10 ống x 5ml,NSX,24,868110059926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,141,Kardiyomil,Milrinon 10mg/10ml,Dung dịch tiêm/truyền,Hộp 01 ống x 10ml,NSX,24,868110060026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,142,Epomred,Prednisone 10mg,Viên nén,Hộp 30 viên,EP,24,840110060126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,25,143,Esactive 8mg,Candesartan cilexetil 8mg,Viên neń,Hộp 2 vỉ x 14 viên,NSX,36,840110060226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,144,Dermabet,"Calcipotriol (dưới dạng Calcipotriol monohydrat) 0,005% (w/w), Betamethason (dưới dạng Betamethason dipropionat) 0,05% (w/w)",Thuốc mỡ bôi da,Hộp 1 tuýp 15g; Hộp 1 tuýp 30g,NSX,24,880110060326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,145,Ciproquin-500,Ciprofloxacin Hydrochloride 582mg tương đương Ciprofloxacin 500mg,Viên nén bao phim,Hộp 10 vỉ x 10 viên,USP 40,36,890115060426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,146,Oricox 120 Tablet,Etoricoxib 120mg,Viên nén bao phim,Hộp 2 vỉ x 10 viên,NSX,24,894110060526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,147,Linzolid 600 IV Infusion,"Linezolid 0,6g/300ml",Dung dịch truyền tĩnh mạch,Hộp 1 chai x 300ml,NSX,24,894110060626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,26,148,Nokomet ER 100/1000,"Metformin Hydrochloride (dạng giải phóng chậm) 1000mg, Sitagliptin Phosphate Anhydrous tương đương Sitagliptin 100mg",Viên nén bao phim giải phóng chậm,Hộp 1 lọ x 30 viên,NSX,24,890110060726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,149,Barcavir,"Entecavir (dưới dạng Entecavir monohydrat 0,5325mg) 0,5mg",Viên nén bao phim,Hộp 1 vỉ x 10 viên,USP hiện hành,24,894114060826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,150,Normix,Rifaximin 200mg,Viên nén bao phim,Hộp 1 vỉ x 12 viên,NSX,36,800110060926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,151,Monurol 3g,"Fosfomycin (tương đương fosfomycin trometamol 5,631 gam) 3 gam",Cốm pha dung dịch uống,Hộp 1 Gói,NSX,36,760110061026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,152,Infusocip,Ciprofloxacin 2mg/ml,Dung dịch tiêm truyền,"Túi 100ml, Túi nhựa polypropylene",NSX,24,890115061126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,153,Obrolev Uniflex,Levofloxacin (dưới dạng Levofloxacin hemihydrat) 5mg/ml,Dung dịch tiêm truyền,"Hộp 24 túi x 50ml, túi nhựa polyolefin; Hộp 24 túi x 100ml, túi nhựa polyolefin; Hộp 24 túi x 150ml, túi nhựa polyolefin",NSX,24,890115061226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,27,154,Telswift-H 80,"Telmisartan 80mg, Hydrochlorothiazid 12,5mg",Viên nén,Hộp 4 vỉ x 7 viên,NSX,24,890110061326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,155,Clonex Cream,Clotrimazol 1% (w/w),Kem bôi da,Hộp 1 tuýp x 20 gam,USP 43 + NSX,36,890100061426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,156,ML-Gacid,"Omeprazol (dưới dạng omeprazol pellets 7,5% kl/kl) 20mg",Viên nang cứng chứa vi hạt bao tan trong ruột,Hộp 10 vỉ x 10 viên,NSX,36,890110061526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,157,Pantofast,Pantoprazol (dưới dạng Pantoprazol natri sesquihydrat) 40mg,Bột đông khô pha tiêm,Hộp 1 Lọ,NSX,24,890110061626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,158,Viprolox 500,Ciprofloxacin hydrochloride 582mg tương đương với Ciprofloxacin 500mg,Viên nén bao phim,Hộp 1 vỉ x 10 viên; Hộp 5 vỉ x 10 Viên,BP 2013,36,529115061726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,159,Febuxostat/ Genepharm,Febuxostat 80mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,36,520110061826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,160,Dikloron 75mg/3ml,Diclofenac sodium 75mg/3ml,Dung dịch tiêm,Hộp 10 ống x 3ml; Hộp 4 ống x 3ml,NSX,48,868110061926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,28,161,Lorsedin Oral Solution,"Loratadine 0,1% (w/v)",Dung dịch uống,Hộp 1 chai x 60ml,NSX,36,885100062026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,29,162,Atoksilin 250mg/5ml,Amoxicillin (dưới dạng Amoxicillin trihydrate) 250mg/5ml,Bột pha hỗn dịch uống,"Hộp 1 chai x 24,1g bột pha thành 80ml hỗn dịch và 1 muỗng đong (5ml)",NSX,24,868110062126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,29,163,Dumax 30,"Dapoxetine Hydrochloride (tương đương với Dapoxetine 30mg) 33,586mg",Viên nén bao phim,Hộp 2 vỉ x 4 viên,NSX,24,894110062226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,29,164,Dumax 60,"Dapoxetine hydrochloride (tương đương với Dapoxetine 60mg) 67,172mg",Viên nén bao phim,Hộp 1 vỉ x 4 viên,NSX,24,894110062326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,29,165,Medfapin,Olanzapine 10mg,Viên nén phân tán trong miệng,"Hộp 4 vỉ x 7 viên, (Vỉ: PA/Nhôm/ PVC - Nhôm)",NSX,24,520110062426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,29,166,Caspofungin 50mg,"Caspofungin (dưới dạng Caspofungin acetat 55,5mg) 50mg",Bột đông khô pha dung dịch đậm đặc để pha dung dịch tiêm truyền,Hộp 01 lọ,NSX,24,520110062526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,167,Rabeprazole Sodium 20mg,"Rabeprazol natri (dưới dạng Rabeprazol natri hydrat 20,9mg) 20mg",Viên nén bao tan trong ruột,Hộp 2 vỉ x 14 viên,NSX,18,840110062626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,168,Zolpidem Tartrate Tablets 10 mg,Zolpidem Tartrate 10mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,36,890112062726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,169,Aclonia 70mg/5600 IU tablets,"Alendronic acid (dưới dạng Alendronat natri trihydrat) 70mg, Cholecalciferol (Vitamin D3) tinh thể (dưới dạng Cholecalciferol dạng bột cô đặc) 5600IU",Viên nén,Hộp 1 vỉ x 4 viên,NSX,24,520110062826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,170,Galantamine/ Pharmathen 16 mg,"Galantamin hydrobromid 20,504mg tương đương với Galantamin 16mg",Viên nang cứng giải phóng kéo dài,Hộp 4 vỉ x 14 viên,NSX,24,520110062926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,171,Vildagliptin 50mg Tablets,Vildagliptin 50mg,Viên nén,Hộp 06 vỉ x 10 viên,NSX,36,840110063026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,172,Quetiapine Tablets USP 100 mg,"Quetiapine fumarate 115,14mg tương đương với Quetiapine 100mg",Viên nén bao phim,Hộp 3 vỉ x 10 viên,USP hiện hành,24,890110063126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,30,173,Ursodeoxycholic Acid Capsules BP 300 mg,Ursodeoxycholic Acid 300mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,BP hiện hành,24,890110063226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,174,Iprod 25 (Azathioprine Tablets BP 25 mg),Azathioprine 25mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,BP hiện hành,24,890115063326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,175,Gabenil,Gabapentin 400mg,Viên nang cứng,"Hộp, 5 vỉ aluminium/ clear PVC/PVDC x 10 viên",NSX,36,529110063426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,176,Biltin Tablet,Bilastine 20mg,Viên nén,Hộp 3 vỉ x 10 viên,NSX,24,894110063526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,177,Incepdazol 250 tablet,Metronidazol 250mg,Viên nén bao phim,Hộp 10 vỉ x 10 viên,USP hiện hành,24,894115063626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,178,Neocilor Syrup,"Desloratadine 0,025 gam",Si rô,Hộp 1 chai 50ml,NSX,60,894100063726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,31,179,Fuzi-SK,Acid Fusidic tương ứng với Acid Fusidic khan 2% (w/w),Thuốc kem bôi ngoài da,Hộp 1 tuýp x 5 gam; Hộp 1 tuýp x 10 gam,NSX,24,890110063826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,180,Nyska-V,Nystatin 100 000 IU,Viên nén đặt âm đạo,Hộp 10 vỉ x 10 viên,USP hiện hành,36,890110063926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,181,Valapply,"Betamethasone Valerate tương đương với Betamethasone 0,1% (w/w)",Thuốc kem bôi ngoài da,Hộp 1 tuýp x 5 gam; Hộp 1 tuýp x 15 gam,NSX,36,890110064026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,182,Losanil 100 Tablet,Losartan kali 100mg,Viên nén bao phim,"Hộp 3 vỉ x 10 viên, Vỉ Alu-PVC",USP hiện hành,24,894110064126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,183,Pilestop Tablet,"Diosmin 450mg, Hesperidin 50mg",Viên nén bao phim,"Hộp 2 vỉ x 10 Viên, Vỉ Alu-PVDC.",NSX,24,894100064226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,184,Solimax 40 Capsule,Esomeprazol (dưới dạng pellet bao tan trong ruột chứa esomeprazol magnesi trihydrat) 40mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,USP hiện hành,24,894110064326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,185,Cantab 8mg Tablet,Candesartan cilexetil 8mg,Viên nén,Hộp 2 vỉ x 14 viên,NSX,24,868110064426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,186,Ticasa 60mg,Ticagrelor 60mg,Viên nén bao phim,Hộp 4 vỉ x 14 viên,NSX,36,868110064526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,187,Pratin 2 mg,"Pitavastatin calcium 2,09mg tương đương với Pitavastatin 2mg",Viên nén bao phim,Hộp 2 vỉ x 15 viên,NSX,24,868110064626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,32,188,Itraconazole Capsules 100mg,Itraconazol (dưới dạng itraconazol pellet 22% 455mg) 100mg,Viên nang cứng,Hộp 1 vỉ x 10 viên,BP hiện hành,24,890110064726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,189,Sagaesome 20 Capsule,"Esomeprazole (dưới dạng Esomeprazole Magnesium Trihydrate pellet bao tan trong ruột 22%: 90,909mg) 20mg",Viên nang cứng chứa các hạt pellet bao tan trong ruột,Hộp 3 vỉ x 10 viên,NSX,30,890110064826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,190,Sagaesome 40 Capsule,"Esomeprazole (dưới dạng Esomeprazole Magnesium Trihydrate pellet bao tan trong ruột 22%: 181,818mg) 40mg",Viên nang cứng chứa các hạt pellet bao tan trong ruột,Hộp 3 vỉ x 10 viên,NSX,30,890110064926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,191,Ibusol,Mỗi 5ml hỗn dịch uống chứa: Ibuprofen 100mg (2% (w/v)),Hỗn dịch uống,"Hộp 1 lọ 100ml, kèm cốc đong có chia vạch",NSX,36,890100065026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,192,Moksh,Moxifloxacin hydrochlorid tương đương với Moxifloxacin 5mg/ml,Dung dịch nhỏ mắt,Hộp 1 Lọ x 5ml,NSX,24,890115065126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,193,Thrombiga,Dabigatran Etexilat (dưới dạng Dabigatran Etexilat Mesylat) 110mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,NSX,24,890110065226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,194,Moxitu,Moxifloxacin (dưới dạng Moxifloxacin hydroclorid) 400mg/250ml,Dung dịch tiêm truyền,Hộp 1 Chai x 250ml,NSX,48,520115065326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,33,195,Vortimal,Voriconazol 200mg,Bột đông khô pha dung dịch tiêm truyền,Hộp 1 lọ x 25ml,NSX,36,520110065426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,196,Sandostatin,"Octreotide 0,1mg/ml",Dung dịch tiêm,Hộp 5 ống x 1ml,NSX,36,300114065526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,197,Voltaren 50,Diclofenac natri 50mg,Viên nén bao tan ở ruột,Hộp 10 vỉ x 10 viên,NSX,24,868110065626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,198,Sorafenib Sandoz,Sorafenib (dưới dạng Sorafenib tosylat 274mg) 200mg,Viên nén bao phim,Hộp 6 vỉ x 10 viên,NSX,24,535114065726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,199,Ticagrelor Sandoz,Ticagrelor 90mg,Viên nén bao phim,Hộp 6 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,NSX,36,535110065826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,200,Zafirin 10 mg/g,Clotrimazole 10mg,Kem,Hộp 1 Tuýp,NSX,24,380110065926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,34,201,Lomac-20,"Omeprazole (dưới dạng pellet bao tan trong ruột 8.5%, 240mg) 20mg",Viên nang cứng chứa pellet bao tan trong ruột,"Hộp 3 vỉ x 10 viên, vỉ nhôm-nhôm; Hộp 6 vỉ x 10 viên, vỉ nhôm-nhôm; Hộp 10 vỉ x 10 viên, vỉ nhôm-nhôm; Hộp 10 vỉ x 10 viên, vỉ xé nhôm- nhôm; Hộp 1 lọ x 14",NSX,36,890110066026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,35,202,Meravo 49/51mg,"Sacubitril (dưới dạng Sacubitril Sodium 51,178mg) 48,6mg, Valsartan (dưới dạng Valsartan Disodium 56,611mg) 51,4mg",Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,36,890110066126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,35,203,Stomagold 20,Esomeprazole magnesium dihydrate BP tương đương với Esomeprazole 20mg,Viên neń bao tan trong ruột,Hộp 2 vỉ x 10 viên; Hộp 3 vỉ x 10 viên,NSX,24,890110066226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,35,204,Creobic Gold Cream 1% w/w,Terbinafin Hydroclorid 1% (w/w),Kem,Hộp 1 Tuýp x 10 gam; Hộp 1 Tuýp x 20 gam,NSX,48,955110066326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,35,205,Sara Infant Drops,"Mỗi 0,6ml chứa paracetamol 60mg (10% kl/tt)",Dung dịch,Hộp 12 hộp x 1 chai x 15 ml,NSX,60,885100066426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,35,206,Danaroxime 1500mg,Cefuroxime natri (tương đương Cefuroxime 1500mg) 1578mg,Bột pha dung dịch truyền tĩnh mạch,"Hộp 10 hoặc 25 lọ, lọ 17ml",NSX,24,300110066526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,207,Air-X,Simethicon 80mg,Viên nén nhai,Hộp 10 vỉ x 10 viên,USP hiện hành (USP 2023),60,885100066626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,208,Lebalix 150 mg,Pregabalin 150mg,Viên nang cứng,Hộp 4 vỉ x 14 viên,NSX,30,840110066726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,209,Lebalix 25 mg,Pregabalin 25mg,Viên nang cứng,Hộp 4 vỉ x 14 viên,NSX,30,840110066826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,210,Lebalix 75 mg,Pregabalin 75mg,Viên nang cứng,Hộp 4 vỉ x 14 viên,NSX,30,840110066926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,211,Citalopram Vir 10 mg comprimidos recubiertos con película,"Citalopram hydrobromide 12,49mg tương đương Citalopram 10mg",Viên nén bao phim,Hộp 1 vỉ x 28 viên,NSX,24,840110067026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,36,212,Citalopram Vir 20 mg comprimidos recubiertos con película EFG,"Citalopram hydrobromide 24,98mg tương đương Citalopram 20mg",Viên nén bao phim,Hộp 1 vỉ x 28 viên,NSX,24,840110067126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,213,Efexor XR,Venlafaxine (dưới dạng Venlafaxine HCl) 150mg,Viên nang cứng giải phóng kéo dài,Hộp 2 vỉ x 14 viên,NSX,36,539110067226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,214,Efexor XR,"Venlafaxine (dưới dạng Venlafaxine HCl) 37,5mg",Viên nang cứng giải phóng kéo dài,Hộp 1 vỉ x 7 viên,NSX,36,539110067326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,215,EU-Phosteril 800mg,Sevelamer carbonate khan 800mg,Viên nén bao phim,Hộp 1 lọ 180 viên,NSX,36,520110067426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,216,Cidafil 10,Tadalafil 10mg,Viên nén bao phim,Hộp 1 vỉ x 4 viên,NSX,36,560110067526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,217,Biocarbon,Than hoạt tính (activated charcoal) 250mg,Viên nén,Hộp 5 vỉ x 10 viên,NSX,36,900100067626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,218,Comricid 1,Finasterid 1mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,USP 42,24,890110067726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,219,Comricid 5,Finasterid 5mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,USP 42,24,890110067826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,37,220,Vemcaine 10% Pump Spray Solution,Lidocain base 100mg/ml,Dung dịch xịt,"Hộp 1 chai x 50ml, có van chia liều và 1 đầu phun",NSX,24,868100067926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,38,221,Cutmirat 7.5 mg/5 ml syrup,"Mỗi chai 100ml chứa: Butamirate citrate 0,15g",Si rô,"Hộp 1 chai x 100ml, kèm 1 cốc đong 5ml",NSX,24,868110068026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,38,222,Zolemed,Clotrimazole 1% (w/w),Kem bôi da,Hộp 1 tuýp x 15 gam,BP 2024 + NSX,36,890100068126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,38,223,Tikolek,Citicoline (dưới dạng citicoline natri) 500mg/4ml,Dung dịch tiêm tĩnh mạch và tiêm bắp,"Hộp 05 Ống, mỗi ống chứa 4ml dung dịch; Hộp 10 Ống, mỗi ống chứa 4ml dung dịch",NSX,24,481110068226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,38,224,Metronidazole Infusion,Metronidazole 500mg/100ml,Dung dịch tiêm truyền tĩnh mạch,Hộp 1 chai x 100ml,BP hiện hành,36,690115068326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,38,225,CKDBelloxa injection 100mg,Oxaliplatin 100mg,Bột đông khô pha tiêm,Hộp 1 Lọ,NSX,36,880114068426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,39,226,Cerixon,Ceftriaxone (dưới dạng Ceftriaxone Sodium) 1 gam,Thuốc bột pha tiêm,Hộp 10 Lọ,USP 41,36,880110068526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,39,227,Carvedi-Denk 25,Carvedilol 25mg,Viên nén,Hộp 3 vỉ x 10 viên,NSX,36,400110068626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,39,228,On.setron- Denk 8 mg ODT,Ondansetron 8mg,Viên nén phân tán trong miệng,Hộp 1 vỉ x 6 viên,NSX,36,400110068726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,39,229,Pred Forte,Prednisolon acetat 1% kl/tt (10 mg/ml),Hỗn dịch nhỏ mắt,Hộp 1 Lọ x 5ml,NSX,24,539110068826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,39,230,Rivaxored 2.5,"Rivaroxaban 2,5mg",Viên nén bao phim,"Hộp, 1 vỉ x 10 viên; Hộp, 3 vỉ x 10 viên (vỉ Alu- PVC/PVDC)",NSX,36,890110068926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,40,231,Sugammadex beta,"Mỗi lọ 2ml chứa: Sugammadex sodium (tương đương 200mg Sugammadex) 217,6mg",Dung dịch tiêm,"Hộp, 1 lọ 2ml",NSX,24,890110069026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,40,232,Ticagrelor Tablets 90mg,Ticagrelor 90mg,Viên nén bao phim,Hộp 01 vỉ x 15 viên; Hộp 01 Chai x 60 viên,NSX,36,890110069126,,
