appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
II - 13 thuốc nhập khẩu được cấp GĐKLH hiệu lực 3 năm,Gia hạn giấy đăng ký lưu hành,158,1,,,,,,,,,
II - 13 thuốc nhập khẩu được cấp GĐKLH hiệu lực 3 năm,Gia hạn giấy đăng ký lưu hành,158,2,,,,,,,,,
